Brand,product,Price,Rating Score,Rating Count
HP,"Victus 15-fa1033nt 7n9v2ea I5-13500h 16gb 512ssd Rtx4050 15.6"" Fullhd Freedos Taşınabilir Bilgisa",33.388 TL,4.9,16
Huawei,"Matebook D16 2024 Intel Core i5 12450H 8GB 512GB SSD Freedos 16"" IPS Taşınabilir Bilgisayar",19.851 TL,3.9,9
ASUS,"Expertbook B1502 Intel Core İ5-1235U 16GB 512GB SSD 15,6"" Fhd Win 11 Pro Taşınabilir Bilgisayar",17.999 TL,4.6,18
LENOVO,"IdeaPad3 Intel Core i3-1215U 8GB 256GB SSD 15.6"" FHD DOS Arctic Grey Dizüstü Bilgisayar 82RK011BTX","10.073,29 TL",3.9,9
Dell,"Inspiron 3520 Intel Core i5 1235U 16 gb 512 GBSSD Windows 11 Home 15.6"" FHD 120Hz 3520AR17",15.999 TL,4.7,42
ACER,"Nitro5 Intel Core i5-12500H 16GB 512GB SSD 6GB RTX4050 DOS 15.6"" Gaming Laptop NH.QLZEY.006",31.999 TL,4.6,289
LENOVO,"Loq 15IRX9 Intel Core I7 13650HX 32gb 512GB SSD 6gb RTX4050 Fdos 15.6"" Fhd 83DV00G7TR03",41.599 TL,4.0,2
Apple,"13-inch MacBook Air: Apple M3 chip with 8-core CPU and 8-core GPU, 16GB, 256GB SSD - Gece Yarısı",43.899 TL,5.0,3
LENOVO,"Ideapad AMD Ryzen 7 5700U 16GB 512GB SSD Freedos 15.6"" 82R4006FTRA38",17.999 TL,4.6,192
Xiaomi,"Redmibook 15E Intel Core i7-11390H 15.6"" 16 GB RAM 512 GB SSD İngilizce Klavye W11H Notebook","17.399,50 TL",3.7,3
MSI,Katana 17 B13vek-1035xtr I7-13620h 16gb 512gb Ssd Rtx4050 17.3 Inç 144hz Freedos Gaming Laptop,44.999 TL,4.4,15
ACER,Aspire Lite Al14-31P-C452 Intel N100 8GB RAM 256Gb SSD UHD Graphics 14'' FHD Linux Gümüş Notebo,"8.494,90 TL",4.7,10
Dell,"G16 7630 I9-13900hx 32gb 1tb Ssd 8gb Rtx4070 16.0"" Qhd Freedos G76302401024u",70.999 TL,4.5,10
HP,"Victus 16-r0035nt Intel I5-13500h Ddr5 16gb 1tb Ssd Gen4 8gb Rtx 4060 16.1""freedos Laptop 7p6l3ea",39.999 TL,4.5,31
ACER,"Nitro V 15 ANV15-51 Intel I5-13420H 8GB 1TB SSD 6GB RTX4050 15.6""FHD IPS 144hz Freedos",28.330 TL,4.2,45
ASUS,Vivobook 15 12.Nesil Core i3 1215U-8Gb-256Gb Ssd-15.6inc-W11,12.299 TL,4.6,13
CASPER,Excalibur G870.1245-DFB0X-B i5-12450H 32GB RAM 1TB NVMe SSD GEN4 8GB RTX4060 DOS GAMING LAPTOP,37.999 TL,4.5,263
ASUS,E510ma-br580w/ Cel N4020/ 4gb Ram/ 128ssd/ Windows 11 Laptop,7.844 TL,4.3,142
Dell,"VOSTRO 3520 Intel Core i5-1235U 32GB 1TB SSD 15.6"" FHD Freedos N1605PVNB3520U008",18.199 TL,4.7,13
HP,"15.6"" 250 G10 968l3et Core I5 1334u-8gb Ram-512gb Nvme-fdos","19.775,23 TL",,
Apple,"Macbook Air 13.6"" M2 8c Cpu 10c Gpu 8 Gb 512 Gb Ssd Gümüş Mly03tu/a",37.699 TL,4.7,23
LENOVO,Ideapad 1 15IGL7 82V700A8TXv1 Intel Celeron N4020 4GB 512GB SSD 15.6 inç HD FreeDos Laptop,8.639 TL,3.7,3
HP,Victus 16-R0071NT 8V898EA i7-13700H 32GB RAM 1TB SSD 8GB GeForce RTX 4070 16.1 inç FHD FreeDOS,54.499 TL,5.0,4
Dell,Inspiron 15 3520 i5-1235U 8GB RAM 256GB SSD 15.6 inç FHD 120Hz Ubuntu I352024052009U,13.090 TL,4.5,29
LENOVO,"IdeaPad 1 Intel Core i3-1215U 8GB 256GB SSD 15.6"" FHD FreeDOS Dizüstü Bilgisayar 82QD00GLTX",10.999 TL,5.0,1
Apple,"Macbook Pro M4 Pro 24gb 512gb Ssd Macos 14"" Taşınabilir Bilgisayar Uzay Siyahı Mx2h3tu/a",86.499 TL,5.0,1
ASUS,"Vivobook 15 Intel Core i5 1235U 16GB 1TB SSD W11P 15.6"" FHD Bilgisayar Csrtech",21.349 TL,4.4,92
LENOVO,V14 G4 Amn 82yt00sqtx Amd Ryzen R5-7520u 8gb Lpddr5 256gb Ssd 14'' Tn Freedos Taşınabilir Bil,10.399 TL,3.5,2
HP,"Victus 16-s0001nt R7 7840hs 32gb 1tb Ssd Rtx4070-8gb Freedos 16.1"" 240 Hz Qhd Notebook 7z4l9ea",58.999 TL,5.0,18
Apple,"Macbook Air M2 16gb 256gb Ssd Macos 13"" Taşınabilir Bilgisayar Gece Yarısı Mc7x4tu/a",38.489 TL,5.0,2
ACER,"Nitro V15 ANV15-51-57XV i5-13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD NH.QNBEY.004",29.799 TL,4.8,4
ASUS,"TUF GAMING A15 FA506NF-HN051 AMD RYZEN 5-7535HS 8GB 512GB SSD 4GB RTX2050 15.6"" FHD 144Hz FDOS",22.749 TL,4.4,23
HP,"Victus 15-fb2028nt Amd R5 7535hs 16gb 512gb Ssd Rx6550m-4gb Freedos 15.6"" Fhd 144hz Taşınabilir B",24.399 TL,4.3,6
Apple,"Macbook Air M2 16gb 256gb Ssd Macos 13"" Taşınabilir Bilgisayar Yıldız Işığı Mc7w4tu/a",41.999 TL,5.0,1
Apple,"Macbook Air 13.6"" M2 8c Gpu 8 Gb 256 Gb Ssd Yıldız Işığı",36.180 TL,4.6,207
MSI,"18"" Tıtan 18 Hx A14vıg-067tr core I9 14900hx-128gb Ddr5 Ram-16gb Rtx4090-4tb Nvme-w11 Pro","318.861,43 TL",,
ASUS,"Vivobook 15 X1504ZA-BQ441 Intel Core i7 1255U 16GB 1TB SSD W11H 15.6"" FHDÇanta Hediye",27.249 TL,5.0,4
MSI,Thin 15 12.Nesil Core i5 12450H-RTX3050 4Gb-16Gb-512Gb Ssd-15.6inc-W11,30.899 TL,5.0,1
Apple,"Macbook Air 13.6"" M2 8gb 256gb Ssd Gece Yarısı",36.530 TL,4.7,397
LENOVO,IdeaPad Slim 3 83ES0033TR i5-12450H 8G 512G SSD 16 FHD+ 1920x1200 FreeDos Arctic Grey,15.999 TL,,
Huawei,MateBook D 16 2024 13. Nesil Core i9 16GB+1TB 16 inç Uzay Grisi,40.899 TL,4.8,13
MSI,Cyborg 15 A13ve-1478xtr I5-13420h 16gb Ddr5 1tb Ssd Rtx4050 6gb 144hz Fhd Freedos Gaming Laptop,35.499 TL,4.8,18
Dell,"Inspiron 3520 Intel Core i5-1235U 16GB 512GB SSD 15.6"" FHD Linux Siyah Dizüstü Bilgisayar","15.666,44 TL",4.0,30
LENOVO,"IdeaPad 1 15ALC7 Ryzen 7 5700U 8GB 256GB SSD 15.6"" FHD Freedos 82R4006ETR",14.350 TL,4.6,11
MSI,Thin 15 12.Nesil Core i5 12450H-RTX2050 4Gb-8Gb-512Gb Ssd-15.6inc-W11,22.599 TL,5.0,1
MONSTER,"Abra A7 V15.1.4 Intel Core i7 12700H 16 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 17,3"" FHD 144 Hz",37.099 TL,4.8,14
